Category,Metric,Benchmark,Spearman_rho,Spearman_p,N
All_geo,p1,HumanEval,0.3545454545454546,0.2846927409558867,11
DataDep,p1,HumanEval,0.3272727272727273,0.32589494101284167,11
DeadCode,p1,HumanEval,0.6090909090909091,0.04669570935409886,11
Dominators,p1,HumanEval,0.3181818181818182,0.34029761418190363,11
FuncReach,p1,HumanEval,0.6545454545454547,0.028864598957001886,11
Liveness,p1,HumanEval,0.3963563813930385,0.22750454202685516,11
LoopReach,p1,HumanEval,0.41818181818181827,0.20057021703405067,11
All_geo,p1,MBPP,0.4666666666666666,0.17393859716506632,10
DataDep,p1,MBPP,-0.006060606060606061,0.9867429111949892,10
DeadCode,p1,MBPP,0.5151515151515151,0.12755286970323426,10
Dominators,p1,MBPP,0.18787878787878787,0.603217610029209,10
FuncReach,p1,MBPP,0.7333333333333332,0.01580059625057158,10
Liveness,p1,MBPP,0.601826488243264,0.06564599213625302,10
LoopReach,p1,MBPP,0.4666666666666666,0.17393859716506632,10
