copied_file_name,copied_path,problem_id,file_name,relative_path,path,code_lines,loc_bin,function_count,top_level_function_count,nested_function_count,class_count,method_count,loop_count,if_count,return_count,assign_count,call_count,max_ast_depth,file_size_bytes,syntax_ok,error,blank_lines,comment_lines,total_lines
p02862_s805704251.py,SemBench/data/python_codenet/code/p02862_s805704251.py,p02862,s805704251.py,p02862/s805704251.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p02862/s805704251.py,18,<= 50,3,3,0,0,0,1,1,3,7,10,10,573,True,,9,2,29
p02814_s872825481.py,SemBench/data/python_codenet/code/p02814_s872825481.py,p02814,s872825481.py,p02814/s872825481.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p02814/s872825481.py,23,<= 50,4,1,3,0,0,3,2,4,8,14,12,1120,True,,7,8,38
p02768_s162717423.py,SemBench/data/python_codenet/code/p02768_s162717423.py,p02768,s162717423.py,p02768/s162717423.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p02768/s162717423.py,15,<= 50,1,1,0,0,0,1,0,1,11,9,9,312,True,,4,0,19
p02757_s674424237.py,SemBench/data/python_codenet/code/p02757_s674424237.py,p02757,s674424237.py,p02757/s674424237.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p02757/s674424237.py,23,<= 50,2,2,0,0,0,3,2,0,11,14,12,386,True,,3,0,26
p02768_s307016809.py,SemBench/data/python_codenet/code/p02768_s307016809.py,p02768,s307016809.py,p02768/s307016809.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p02768/s307016809.py,17,<= 50,1,1,0,0,0,1,0,1,13,9,9,357,True,,4,1,22
p03166_s997292478.py,SemBench/data/python_codenet/code/p03166_s997292478.py,p03166,s997292478.py,p03166/s997292478.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p03166/s997292478.py,26,<= 50,4,4,0,0,0,3,0,4,9,20,10,576,True,,2,2,30
p03287_s948571259.py,SemBench/data/python_codenet/code/p03287_s948571259.py,p03287,s948571259.py,p03287/s948571259.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p03287/s948571259.py,21,<= 50,1,1,0,0,0,2,0,1,9,15,10,505,True,,1,3,25
p02888_s219520559.py,SemBench/data/python_codenet/code/p02888_s219520559.py,p02888,s219520559.py,p02888/s219520559.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p02888/s219520559.py,20,<= 50,4,4,0,0,0,2,1,4,5,15,11,518,True,,10,1,31
p03450_s458111253.py,SemBench/data/python_codenet/code/p03450_s458111253.py,p03450,s458111253.py,p03450/s458111253.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p03450/s458111253.py,42,<= 50,5,0,0,1,5,2,5,4,17,21,11,1331,True,,9,0,51
p02259_s221905796.py,SemBench/data/python_codenet/code/p02259_s221905796.py,p02259,s221905796.py,p02259/s221905796.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p02259/s221905796.py,21,<= 50,3,3,0,0,0,2,2,1,9,14,12,569,True,,7,2,30
p03739_s510848866.py,SemBench/data/python_codenet/code/p03739_s510848866.py,p03739,s510848866.py,p03739/s510848866.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p03739/s510848866.py,17,<= 50,1,1,0,0,0,1,3,1,9,11,9,377,True,,2,1,20
p03111_s672672718.py,SemBench/data/python_codenet/code/p03111_s672672718.py,p03111,s672672718.py,p03111/s672672718.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p03111/s672672718.py,22,<= 50,2,2,0,0,0,1,3,2,10,28,14,776,True,,4,0,26
p02975_s108737672.py,SemBench/data/python_codenet/code/p02975_s108737672.py,p02975,s108737672.py,p02975/s108737672.py,SemBench/data/python/codenet_python/Project_CodeNet_Python800/p02975/s108737672.py,27,<= 50,2,2,0,0,0,1,9,4,6,17,12,649,True,,11,2,40
